Nanorthidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euorthosinidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poramborthidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finkelnburgiidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plectorthidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skenidiidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enteletidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draboviidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrustenoporidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophoriidae,Animalia,Brachiopoda,Articulata,M,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
